arxiv_id,title,authors,abstract,published_date,updated_date,categories,pdf_url,page_url,doi,journal_ref,event,event_edition,category_source,scraped_at
1911.11894v1,FSE/CACM Rebuttal$^2$: Correcting A Large-Scale Study of Programming  Languages and Code Quality in GitHub,Emery D. Berger; Petr Maj; Olga Vitek; Jan Vitek,"Ray, Devanbu and Filkov issued a rebuttal of our TOPLAS paper ""On the Impact of Programming Languages on Code Quality: A Reproduction Study"". Our paper reproduced ""A Large-Scale Study of Programming Languages and Code Quality in GitHub"", which appeared at FSE 2014 and was subsequently republished as a CACM research highlight in 2017. This article is a rebuttal to that rebuttal.",2019-11-27,2019-11-27,"cs.SE, cs.PL",http://arxiv.org/pdf/1911.11894v1,http://arxiv.org/abs/1911.11894v1,,,FSE,2024,cs.SE,2025-09-09T07:36:39.751649
2504.16472v2,Harden and Catch for Just-in-Time Assured LLM-Based Software Testing:  Open Research Challenges,Mark Harman; Peter O'Hearn; Shubho Sengupta,"Despite decades of research and practice in automated software testing, several fundamental concepts remain ill-defined and under-explored, yet offer enormous potential real-world impact. We show that these concepts raise exciting new challenges in the context of Large Language Models for software test generation. More specifically, we formally define and investigate the properties of hardening and catching tests. A hardening test is one that seeks to protect against future regressions, while a catching test is one that catches such a regression or a fault in new functionality introduced by a code change. Hardening tests can be generated at any time and may become catching tests when a future regression is caught. We also define and motivate the Catching 'Just-in-Time' (JiTTest) Challenge, in which tests are generated 'just-in-time' to catch new faults before they land into production. We show that any solution to Catching JiTTest generation can also be repurposed to catch latent faults in legacy code. We enumerate possible outcomes for hardening and catching tests and JiTTests, and discuss open research problems, deployment options, and initial results from our work on automated LLM-based hardening at Meta. This paper was written to accompany the keynote by the authors at the ACM International Conference on the Foundations of Software Engineering (FSE) 2025. Author order is alphabetical. The corresponding author is Mark Harman.",2025-04-23,2025-05-14,"cs.SE, cs.AI",http://arxiv.org/pdf/2504.16472v2,http://arxiv.org/abs/2504.16472v2,,,FSE,2024,cs.SE,2025-09-09T07:36:43.466951
2406.18945v1,A Road Less Travelled and Beyond: Towards a Roadmap for Integrating  Sustainability into Computing Education,Ana Moreira; Ola Leifler; Stefanie Betz; Ian Brooks; Rafael Capilla; Vlad Constantin Coroama; Leticia Duboc; Joao Paulo Fernandes; Rogardt Heldal; Patricia Lago; Ngoc-Thanh Nguyen; Shola Oyedeji; Birgit Penzenstadler; Anne Kathrin Peters; Jari Porras; Colin C. Venters,"Education for sustainable development has evolved to include more constructive approaches and a better understanding of what is needed to align education with the cultural, societal, and pedagogical changes required to avoid the risks posed by an unsustainable society. This evolution aims to lead us toward viable, equitable, and sustainable futures. However, computing education, including software engineering, is not fully aligned with the current understanding of what is needed for transformational learning in light of our current challenges. This is partly because computing is primarily seen as a technical field, focused on industry needs. Until recently, sustainability was not a high priority for most businesses, including the digital sector, nor was it a prominent focus for higher education institutions and society.  Given these challenges, we aim to propose a research roadmap to integrate sustainability principles and essential skills into the crowded computing curriculum, nurturing future software engineering professionals with a sustainability mindset. We conducted two extensive studies: a systematic review of academic literature on sustainability in computing education and a survey of industry professionals on their interest in sustainability and desired skills for graduates. Using insights from these studies, we identified key topics for teaching sustainability, including core sustainability principles, values and ethics, systems thinking, impact measurement, soft skills, business value, legal standards, and advocacy. Based on these findings, we will develop recommendations for future computing education programs that emphasise sustainability.  The paper is accepted at the 2030 Software Engineering workshop, which is co-located with the FSE'24 conference.",2024-06-27,2024-06-27,cs.SE,http://arxiv.org/pdf/2406.18945v1,http://arxiv.org/abs/2406.18945v1,,,FSE,2024,cs.SE,2025-09-09T07:36:43.467009
2404.06852v1,Research Artifacts in Software Engineering Publications: Status and  Trends,Mugeng Liu; Xiaolong Huang; Wei He; Yibing Xie; Jie M. Zhang; Xiang Jing; Zhenpeng Chen; Yun Ma,"The Software Engineering (SE) community has been embracing the open science policy and encouraging researchers to disclose artifacts in their publications. However, the status and trends of artifact practice and quality remain unclear, lacking insights on further improvement. In this paper, we present an empirical study to characterize the research artifacts in SE publications. Specifically, we manually collect 1,487 artifacts from all 2,196 papers published in top-tier SE conferences (ASE, FSE, ICSE, and ISSTA) from 2017 to 2022. We investigate the common practices (e.g., URL location and format, storage websites), maintenance activities (e.g., last update time and URL validity), popularity (e.g., the number of stars on GitHub and characteristics), and quality (e.g., documentation and code smell) of these artifacts. Based on our analysis, we reveal a rise in publications providing artifacts. The usage of Zenodo for sharing artifacts has significantly increased. However, artifacts stored in GitHub tend to receive few stars, indicating a limited influence on real-world SE applications. We summarize the results and provide suggestions to different stakeholders in conjunction with current guidelines.",2024-04-10,2024-04-10,cs.SE,http://arxiv.org/pdf/2404.06852v1,http://arxiv.org/abs/2404.06852v1,,,FSE,2024,cs.SE,2025-09-09T07:36:43.467038
2310.16132v1,Diversity in Software Engineering Conferences and Journals,Aditya Shankar Narayanan; Dheeraj Vagavolu; Nancy A Day; Meiyappan Nagappan,"Diversity with respect to ethnicity and gender has been studied in open-source and industrial settings for software development. Publication avenues such as academic conferences and journals contribute to the growing technology industry. However, there have been very few diversity-related studies conducted in the context of academia. In this paper, we study the ethnic, gender, and geographical diversity of the authors published in Software Engineering conferences and journals. We provide a systematic quantitative analysis of the diversity of publications and organizing and program committees of three top conferences and two top journals in Software Engineering, which indicates the existence of bias and entry barriers towards authors and committee members belonging to certain ethnicities, gender, and/or geographical locations in Software Engineering conferences and journal publications. For our study, we analyse publication (accepted authors) and committee data (Program and Organizing committee/ Journal Editorial Board) from the conferences ICSE, FSE, and ASE and the journals IEEE TSE and ACM TOSEM from 2010 to 2022. The analysis of the data shows that across participants and committee members, there are some communities that are consistently significantly lower in representation, for example, publications from countries in Africa, South America, and Oceania. However, a correlation study between the diversity of the committees and the participants did not yield any conclusive evidence. Furthermore, there is no conclusive evidence that papers with White authors or male authors were more likely to be cited. Finally, we see an improvement in the ethnic diversity of the authors over the years 2010-2022 but not in gender or geographical diversity.",2023-10-24,2023-10-24,cs.SE,http://arxiv.org/pdf/2310.16132v1,http://arxiv.org/abs/2310.16132v1,,,FSE,2024,cs.SE,2025-09-09T07:36:43.467063
2208.10049v1,Quantifying Community Evolution in Developer Social Networks: Proof of  Indices' Properties,Liang Wang; Ying Li; Jierui Zhang; Xianping Tao,"The document provides the proof to properties of community evolution indices including community split and shrink in paper: Liang Wang, Ying Li, Jierui Zhang, and Xianping Tao. 2022. Quantifying Community Evolution in Developer Social Networks. In Proceedings of the30th ACM Joint European Software Engineering Conference and Symposiumon the Foundations of Software Engineering (ESEC/FSE 22), November 14 - 18, 2022, Singapore, Singapore. ACM, New York, NY, USA, 12 pages. Proof to properties of community merge and expand is similar.",2022-08-22,2022-08-22,cs.SE,http://arxiv.org/pdf/2208.10049v1,http://arxiv.org/abs/2208.10049v1,,,FSE,2024,cs.SE,2025-09-09T07:36:43.467086
2112.07303v3,MMO: Meta Multi-Objectivization for Software Configuration Tuning,Pengzhou Chen; Tao Chen; Miqing Li,"Software configuration tuning is essential for optimizing a given performance objective (e.g., minimizing latency). Yet, due to the software's intrinsically complex configuration landscape and expensive measurement, there has been a rather mild success, particularly in preventing the search from being trapped in local optima. To address this issue, in this paper we take a different perspective. Instead of focusing on improving the optimizer, we work on the level of optimization model and propose a meta multi-objectivization (MMO) model that considers an auxiliary performance objective (e.g., throughput in addition to latency). What makes this model distinct is that we do not optimize the auxiliary performance objective, but rather use it to make similarly-performing while different configurations less comparable (i.e. Pareto nondominated to each other), thus preventing the search from being trapped in local optima. Importantly, by designing a new normalization method, we show how to effectively use the MMO model without worrying about its weight -- the only yet highly sensitive parameter that can affect its effectiveness. Experiments on 22 cases from 11 real-world software systems/environments confirm that our MMO model with the new normalization performs better than its state-of-the-art single-objective counterparts on 82% cases while achieving up to 2.09x speedup. For 68% of the cases, the new normalization also enables the MMO model to outperform the instance when using it with the normalization from our prior FSE work under pre-tuned best weights, saving a great amount of resources which would be otherwise necessary to find a good weight. We also demonstrate that the MMO model with the new normalization can consolidate recent model-based tuning tools on 68% of the cases with up to 1.22x speedup in general.",2021-12-14,2024-03-15,"cs.SE, cs.AI, cs.DC",http://arxiv.org/pdf/2112.07303v3,http://arxiv.org/abs/2112.07303v3,,,FSE,2024,cs.SE,2025-09-09T07:36:43.467122
2111.02038v5,Fair-SSL: Building fair ML Software with less data,Joymallya Chakraborty; Suvodeep Majumder; Huy Tu,"Ethical bias in machine learning models has become a matter of concern in the software engineering community. Most of the prior software engineering works concentrated on finding ethical bias in models rather than fixing it. After finding bias, the next step is mitigation. Prior researchers mainly tried to use supervised approaches to achieve fairness. However, in the real world, getting data with trustworthy ground truth is challenging and also ground truth can contain human bias. Semi-supervised learning is a machine learning technique where, incrementally, labeled data is used to generate pseudo-labels for the rest of the data (and then all that data is used for model training). In this work, we apply four popular semi-supervised techniques as pseudo-labelers to create fair classification models. Our framework, Fair-SSL, takes a very small amount (10%) of labeled data as input and generates pseudo-labels for the unlabeled data. We then synthetically generate new data points to balance the training data based on class and protected attribute as proposed by Chakraborty et al. in FSE 2021. Finally, the classification model is trained on the balanced pseudo-labeled data and validated on test data. After experimenting on ten datasets and three learners, we find that Fair-SSL achieves similar performance as three state-of-the-art bias mitigation algorithms. That said, the clear advantage of Fair-SSL is that it requires only 10% of the labeled training data. To the best of our knowledge, this is the first SE work where semi-supervised techniques are used to fight against ethical bias in SE ML models.",2021-11-03,2022-03-22,"cs.SE, cs.LG",http://arxiv.org/pdf/2111.02038v5,http://arxiv.org/abs/2111.02038v5,10.1145/3524491.3527305,"International Workshop on Equitable Data and Technology (FairWare
  2022 ), May 9, 2022, Pittsburgh, PA, USA",FSE,2024,cs.SE,2025-09-09T07:36:43.467148
1911.07393v1,"Rebuttal to Berger et al., TOPLAS 2019",Baishakhi Ray; Prem Devanbu; Vladimir Filkov,"Berger et al., published in TOPLAS 2019, is a critique of our 2014 FSE conference abstract and its archival version, the 2017 CACM paper: A Large-Scale Study of Programming Languages and Code Quality in Github. In their paper Berger et al. make academic claims about the veracity of our work. Here, we respond to their technical and scientific critiques aimed at our work, attempting to stick with scientific discourse. We find that Berger et al. largely replicated our results, and agree with us in their conclusion: that the effects (in a statistical sense) found in the data are small, and should be taken with caution, and that it is possible that an absence of effect is the correct interpretation. Thus, our CACM paper's conclusions still hold, even more so now that they have been reproduced, and our paper is eminently citable.",2019-11-18,2019-11-18,"cs.SE, cs.PL",http://arxiv.org/pdf/1911.07393v1,http://arxiv.org/abs/1911.07393v1,,,FSE,2024,cs.SE,2025-09-09T07:36:43.467192
1705.06013v3,How do Practitioners Perceive the Relevance of Requirements Engineering  Research? An Ongoing Study,X. Franch; D. Méndez Fernández; M. Oriol; A. Vogelsang; R. Heldal; E. Knauss; G. Horta Travassos; J. C. Carver; O. Dieste; T. Zimmermann,"The relevance of Requirements Engineering (RE) research to practitioners is a prerequisite for problem-driven research in the area and key for a long-term dissemination of research results to everyday practice. To better understand how industry practitioners perceive the practical relevance of RE research, we have initiated the RE-Pract project, an international collaboration conducting an empirical study. This project opts for a replication of previous work done in two different domains and relies on survey research. To this end, we have designed a survey to be sent to several hundred industry practitioners at various companies around the world and ask them to rate their perceived practical relevance of the research described in a sample of 418 RE papers published between 2010 and 2015 at the RE, ICSE, FSE, ESEC/FSE, ESEM and REFSQ conferences. In this paper, we summarise our research protocol and present the current status of our study and the planned future steps.",2017-05-17,2017-06-14,cs.SE,http://arxiv.org/pdf/1705.06013v3,http://arxiv.org/abs/1705.06013v3,,,FSE,2024,cs.SE,2025-09-09T07:36:43.467223
2410.07245v1,AAAI Workshop on AI Planning for Cyber-Physical Systems -- CAIPI24,Oliver Niggemann; Gautam Biswas; Alexander Diedrich; Jonas Ehrhardt; René Heesch; Niklas Widulle,"The workshop 'AI-based Planning for Cyber-Physical Systems', which took place on February 26, 2024, as part of the 38th Annual AAAI Conference on Artificial Intelligence in Vancouver, Canada, brought together researchers to discuss recent advances in AI planning methods for Cyber-Physical Systems (CPS). CPS pose a major challenge due to their complexity and data-intensive nature, which often exceeds the capabilities of traditional planning algorithms. The workshop highlighted new approaches such as neuro-symbolic architectures, large language models (LLMs), deep reinforcement learning and advances in symbolic planning. These techniques are promising when it comes to managing the complexity of CPS and have potential for real-world applications.",2024-10-08,2024-10-08,cs.AI,http://arxiv.org/pdf/2410.07245v1,http://arxiv.org/abs/2410.07245v1,,,AAAI,2024,cs.AI,2025-09-09T07:36:47.022758
2403.10561v1,A collection of the accepted papers for the Human-Centric Representation  Learning workshop at AAAI 2024,Dimitris Spathis; Aaqib Saeed; Ali Etemad; Sana Tonekaboni; Stefanos Laskaridis; Shohreh Deldari; Chi Ian Tang; Patrick Schwab; Shyam Tailor,"This non-archival index is not complete, as some accepted papers chose to opt-out of inclusion. The list of all accepted papers is available on the workshop website.",2024-03-14,2024-03-14,"cs.LG, cs.AI",http://arxiv.org/pdf/2403.10561v1,http://arxiv.org/abs/2403.10561v1,,,AAAI,2024,cs.AI,2025-09-09T07:36:47.022798
2305.09091v2,AAAI 2022 Fall Symposium: System-1 and System-2 realized within the  Common Model of Cognition,Brendan Conway-Smith; Robert L. West,"Attempts to import dual-system descriptions of System-1 and System-2 into AI have been hindered by a lack of clarity over their distinction. We address this and other issues by situating System-1 and System-2 within the Common Model of Cognition. Results show that what are thought to be distinctive characteristics of System-1 and 2 instead form a spectrum of cognitive properties. The Common Model provides a comprehensive vision of the computational units involved in System-1 and System-2, their underlying mechanisms, and the implications for learning, metacognition, and emotion.",2023-05-16,2023-05-25,cs.AI,http://arxiv.org/pdf/2305.09091v2,http://arxiv.org/abs/2305.09091v2,,"In Proceedings of AAAI Fall Symposium: Thinking Fast & Slow and
  Other Cognitive Theories in AI. Vol.3332 (2022)",AAAI,2024,cs.AI,2025-09-09T07:36:47.022819
2301.05384v1,AAAI 2022 Fall Symposium: Lessons Learned for Autonomous Assessment of  Machine Abilities (LLAAMA),Nicholas Conlon; Aastha Acharya; Nisar Ahmed,"Modern civilian and military systems have created a demand for sophisticated intelligent autonomous machines capable of operating in uncertain dynamic environments. Such systems are realizable thanks in large part to major advances in perception and decision-making techniques, which in turn have been propelled forward by modern machine learning tools. However, these newer forms of intelligent autonomy raise questions about when/how communication of the operational intent and assessments of actual vs. supposed capabilities of autonomous agents impact overall performance. This symposium examines the possibilities for enabling intelligent autonomous systems to self-assess and communicate their ability to effectively execute assigned tasks, as well as reason about the overall limits of their competencies and maintain operability within those limits. The symposium brings together researchers working in this burgeoning area of research to share lessons learned, identify major theoretical and practical challenges encountered so far, and potential avenues for future research and real-world applications.",2023-01-13,2023-01-13,"cs.LG, cs.AI, cs.HC, cs.RO",http://arxiv.org/pdf/2301.05384v1,http://arxiv.org/abs/2301.05384v1,,,AAAI,2024,cs.AI,2025-09-09T07:36:47.022841
2212.13631v5,Proceedings of AAAI 2022 Fall Symposium: The Role of AI in Responding to  Climate Challenges,Feras A. Batarseh; Priya L. Donti; Ján Drgoňa; Kristen Fletcher; Pierre-Adrien Hanania; Melissa Hatton; Srinivasan Keshav; Bran Knowles; Raphaela Kotsch; Sean McGinnis; Peetak Mitra; Alex Philp; Jim Spohrer; Frank Stein; Meghna Tare; Svitlana Volkov; Gege Wen,"Climate change is one of the most pressing challenges of our time, requiring rapid action across society. As artificial intelligence tools (AI) are rapidly deployed, it is therefore crucial to understand how they will impact climate action. On the one hand, AI can support applications in climate change mitigation (reducing or preventing greenhouse gas emissions), adaptation (preparing for the effects of a changing climate), and climate science. These applications have implications in areas ranging as widely as energy, agriculture, and finance. At the same time, AI is used in many ways that hinder climate action (e.g., by accelerating the use of greenhouse gas-emitting fossil fuels). In addition, AI technologies have a carbon and energy footprint themselves. This symposium brought together participants from across academia, industry, government, and civil society to explore these intersections of AI with climate change, as well as how each of these sectors can contribute to solutions.",2022-12-27,2023-01-30,cs.AI,http://arxiv.org/pdf/2212.13631v5,http://arxiv.org/abs/2212.13631v5,,,AAAI,2024,cs.AI,2025-09-09T07:36:47.022881
2209.14292v3,Proceedings of the AI-HRI Symposium at AAAI-FSS 2022,Zhao Han; Emmanuel Senft; Muneeb I. Ahmad; Shelly Bagchi; Amir Yazdani; Jason R. Wilson; Boyoung Kim; Ruchen Wen; Justin W. Hart; Daniel Hernández García; Matteo Leonetti; Ross Mead; Reuth Mirsky; Ahalya Prabhakar; Megan L. Zimmerman,"The Artificial Intelligence (AI) for Human-Robot Interaction (HRI) Symposium has been a successful venue of discussion and collaboration on AI theory and methods aimed at HRI since 2014. This year, after a review of the achievements of the AI-HRI community over the last decade in 2021, we are focusing on a visionary theme: exploring the future of AI-HRI. Accordingly, we added a Blue Sky Ideas track to foster a forward-thinking discussion on future research at the intersection of AI and HRI. As always, we appreciate all contributions related to any topic on AI/HRI and welcome new researchers who wish to take part in this growing community.  With the success of past symposia, AI-HRI impacts a variety of communities and problems, and has pioneered the discussions in recent trends and interests. This year's AI-HRI Fall Symposium aims to bring together researchers and practitioners from around the globe, representing a number of university, government, and industry laboratories. In doing so, we hope to accelerate research in the field, support technology transition and user adoption, and determine future directions for our group and our research.",2022-09-28,2022-11-29,"cs.AI, cs.HC",http://arxiv.org/pdf/2209.14292v3,http://arxiv.org/abs/2209.14292v3,,,AAAI,2024,cs.AI,2025-09-09T07:36:47.022918
